booking_id,passenger_id,flight_id,booking_date,status,seat_number,passport_hash
B1000,P1591,AI192,2025-06-14 11:37:36.951,CANCELLED,3D,59e7e7738c8711b2
B1001,P1803,6F026,2025-11-02 11:37:36.951,CANCELLED,18A,6a95f336b866dc4d
B1002,P1083,SJ010,2025-08-25 11:37:36.951,CANCELLED,30C,8d413701d70b5174
B1003,P1364,AI069,2025-12-30 11:37:36.951,CONFIRMED,33A,19c4a665e8bc1266
B1004,P1885,UK003,2025-10-02 11:37:36.951,PENDING,25C,d9157c803314e083
B1005,P1548,AI048,2025-08-31 11:37:36.951,CONFIRMED,13D,caabc2281b0da4c3
B1006,P1341,AI140,2025-06-29 11:37:36.951,CANCELLED,17F,819d0525b412722f
B1007,P1838,UK167,2026-03-12 11:37:36.951,CONFIRMED,22E,481f342177d3cec4
B1008,P1406,AI245,2025-09-07 11:37:36.951,PENDING,34F,8c98a8c9d9ef366e
B1009,P1424,SJ158,2025-04-28 11:37:36.951,CANCELLED,33C,16d60fe92f5a5849
B1010,P1743,AI155,2025-11-24 11:37:36.951,CONFIRMED,15B,9b8bc958eb99de8f
B1011,P1092,AI179,2025-10-25 11:37:36.951,CONFIRMED,22C,2c38e171d27dcd12
B1012,P1847,AI137,2025-08-15 11:37:36.951,PENDING,28B,e6d22eaeb25269dd
B1013,P1613,SJ001,2025-07-20 11:37:36.951,CONFIRMED,26E,fab85083e9f77799
B1014,P1411,SJ172,2025-09-15 11:37:36.951,PENDING,21E,ce79ecb116713ff5
B1015,P1431,UK094,2025-10-21 11:37:36.951,UNKNOWN,6F,e80647128945b844
B1016,P1677,UK027,2026-01-13 11:37:36.951,CANCELLED,6A,45ac44b766f54461
B1017,P1158,UK067,2026-04-04 11:37:36.951,CONFIRMED,13B,f27605d14d86e057
B1018,P1013,6F196,2026-03-25 11:37:36.951,CANCELLED,19B,f08afc002842ef6c
B1019,P1372,6F164,2025-07-31 11:37:36.951,CANCELLED,19A,451e03d407510f43
B1020,P1224,SJ112,2025-12-06 11:37:36.951,CONFIRMED,27B,548bb24f886551bd
B1021,P1504,6F190,2025-12-07 11:37:36.951,CANCELLED,4E,a81b91b550af858b
B1022,P1072,AI080,2026-03-25 11:37:36.951,CONFIRMED,16F,d10b00994471367e
B1023,P1248,6F213,2026-02-03 11:37:36.951,PENDING,24B,baf43ee0438d2412
B1024,P1510,AI115,2025-06-21 11:37:36.951,PENDING,30F,93992d112475cbf9
B1025,P1602,SJ049,2026-03-18 11:37:36.951,PENDING,1B,1012f26ddc18bc3e
B1026,P1215,AI058,2025-06-27 11:37:36.951,CONFIRMED,32C,56b08f0dbe81e0fd
B1027,P1972,UK036,2025-07-25 11:37:36.951,CONFIRMED,22A,5739e14cea5a14e2
B1028,P1601,SJ239,2025-05-25 11:37:36.951,CANCELLED,26E,807a50e4d654f4ce
B1029,P1540,6F025,2025-06-06 11:37:36.951,CANCELLED,19C,47899709761c35e8
B1030,P1946,6F236,2026-03-18 11:37:36.951,CANCELLED,21E,d307a6378262c7c9
B1031,P1816,AI060,2025-11-16 11:37:36.951,CANCELLED,1E,62954bcb007746db
B1032,P1938,UK021,2025-09-03 11:37:36.951,CANCELLED,18E,718575c7b7ffd0a2
B1033,P1987,UK026,2025-05-06 11:37:36.951,UNKNOWN,19A,a52d3cb89e597a68
B1034,P1219,SJ179,2025-12-31 11:37:36.951,CONFIRMED,22F,151e90282739e28a
B1035,P1839,6F251,2025-08-21 11:37:36.951,PENDING,11D,b20f5000d5f6615e
B1036,P1726,SJ149,2025-11-24 11:37:36.951,PENDING,5B,138ba87501deb785
B1037,P1220,AI188,2026-03-20 11:37:36.951,PENDING,33E,f583dd86ac1ab40c
B1038,P1388,SJ093,2026-01-01 11:37:36.951,PENDING,12D,2269d969b6195ed5
B1039,P1553,SJ205,2025-08-21 11:37:36.951,CONFIRMED,11E,f29a77a8a97066be
B1040,P1646,6F099,2025-08-08 11:37:36.951,CONFIRMED,26B,bcd1bf6246a8cf64
B1041,P1041,UK176,2025-05-28 11:37:36.951,CONFIRMED,25C,86e67dbe9d95297a
B1042,P1675,UK200,2025-12-02 11:37:36.951,CANCELLED,24F,8e2d9b98b2af010a
B1043,P1872,6F195,2025-11-22 11:37:36.951,CANCELLED,8E,af93a48a3274117c
B1044,P1282,6F174,2026-04-12 11:37:36.951,PENDING,16C,16e174d0fb53c3ef
B1045,P1057,SJ214,2026-03-19 11:37:36.951,UNKNOWN,18C,fb7a1818d6acdfde
B1046,P1813,UK059,2025-10-14 11:37:36.951,CONFIRMED,2C,ec8af10a02df2459
B1047,P1833,6F151,2025-12-29 11:37:36.951,PENDING,7C,06fc223a46a46707
B1048,P1536,SJ236,2025-09-19 11:37:36.951,PENDING,18C,8ca1865bfad8bc2f
B1049,P1072,SJ153,2025-07-28 11:37:36.951,UNKNOWN,3C,3da7675b6ee8e557
B1050,P1884,AI220,2026-01-15 11:37:36.951,PENDING,7D,0d72266c43031d80
B1051,P1922,6F028,2025-07-05 11:37:36.951,CANCELLED,16A,720bfb736136a3f4
B1052,P1128,UK209,2025-12-30 11:37:36.951,CANCELLED,33B,733cfebca1a82851
B1053,P1598,UK216,2026-04-01 11:37:36.951,PENDING,28B,399a80b00d6a0a58
B1054,P1841,AI132,2026-04-11 11:37:36.951,CANCELLED,19C,92064bfc79f8368f
B1055,P1425,6F012,2025-10-14 11:37:36.951,CANCELLED,13F,08dbe884a6f40898
B1056,P1947,UK173,2026-03-24 11:37:36.951,CANCELLED,15B,f380fadf17567f87
B1057,P1664,SJ047,2025-08-20 11:37:36.951,CANCELLED,14F,a40b7e364b4f13f0
B1058,P1693,SJ043,2025-12-07 11:37:36.951,PENDING,8C,f93fc5b8f41c836b
B1059,P1124,UK140,2026-01-03 11:37:36.951,CONFIRMED,23B,932065e04863f4c6
B1060,P1066,6F086,2025-12-30 11:37:36.951,CONFIRMED,11A,05f3d6b7a3517179
B1061,P1005,6F114,2026-04-05 11:37:36.951,CANCELLED,19C,0296cf4c371c103a
B1062,P1636,UK153,2025-06-12 11:37:36.951,CANCELLED,15D,cdfa84a9b9646477
B1063,P1313,6F149,2025-05-19 11:37:36.951,CANCELLED,9A,26fe229152e764c4
B1064,P1325,UK145,2025-09-14 11:37:36.951,CONFIRMED,24E,da6bd392194e0730
B1065,P1564,UK010,2026-03-06 11:37:36.951,CANCELLED,7B,4b8e984326743f03
B1066,P1577,SJ003,2025-11-05 11:37:36.951,PENDING,1B,3cb2c86e89a96e35
B1067,P1825,SJ160,2025-07-23 11:37:36.951,PENDING,7F,c25bf736040d96af
B1068,P1505,UK224,2025-11-22 11:37:36.951,PENDING,23A,4e6c0aada89e3523
B1069,P1081,UK152,2025-08-02 11:37:36.951,CONFIRMED,16E,a62394e2c13ca231
B1070,P1598,SJ034,2025-09-22 11:37:36.951,CANCELLED,15D,460fb46958bd358e
B1071,P1001,UK215,2025-12-21 11:37:36.951,CANCELLED,15F,3908c87404af101b
B1072,P1203,UK089,2025-08-10 11:37:36.951,CANCELLED,18F,829a5131166353ef
B1073,P1661,6F180,2025-12-04 11:37:36.951,CONFIRMED,16A,2f3fda6f401627a4
B1074,P1804,6F188,2025-09-25 11:37:36.951,CONFIRMED,7A,2b7e5c29878ccee9
B1075,P1403,UK131,2026-01-03 11:37:36.951,CONFIRMED,2F,5a8625975fd85a29
B1076,P1102,UK055,2025-05-04 11:37:36.951,CONFIRMED,12B,dab6677257e0df4d
B1077,P1535,UK181,2025-05-03 11:37:36.951,PENDING,3A,d6789f8b10569f0b
B1078,P1367,6F077,2025-09-21 11:37:36.951,CONFIRMED,1B,daeb52205df087fe
